wp_id,x,y,z,yaw,velocity,change_flag
0,1.36383033,-0.315548,-0.0357042,0.010212547687759,16,0
1,2.37947106,-0.30517536,-0.01239246,0.010212547687759,16,0
2,3.42615008,-0.28752166,0.01302865,0.016864794206211,16,0
3,4.4705286,-0.26917535,0.020753,0.017564918117855,16,0
4,5.51857471,-0.25574785,0.0417202,0.012811235360151,16,0
5,6.52801752,-0.23038894,0.06504459,0.025116407887748,16,0
6,7.56453323,-0.2139836,0.09463082,0.0158260701378,16,0
7,8.56778812,-0.1910823,0.11385871,0.022823037026424,16,0
8,9.71551991,-0.16533308,0.13362306,0.02243111279544,16,0
9,10.97670937,-0.15471224,0.1765036,0.008421089200005,16,0
10,12.02672863,-0.13775663,0.21453294,0.016146500473062,16,0
11,13.12613297,-0.12201194,0.25013715,0.014320130618198,16,0
12,14.45940685,-0.10328703,0.2882607,0.014043385466295,16,0
13,15.49202347,-0.07934313,0.32070628,0.023183444520014,16,0
14,16.53093719,-0.06113724,0.36069834,0.01752217376741,16,0
15,17.7672081,-0.02574997,0.39793622,0.028616389553329,16,0
16,18.83971405,0.02109737,0.43216509,0.043652512786989,16,0
17,19.92677689,0.06411071,0.47361332,0.039547771679193,16,0
18,21.21016502,0.1326005,0.52166724,0.053315813267461,16,0
19,22.31753731,0.1983635,0.56674629,0.059316865398021,16,0
20,23.43963432,0.28544253,0.60588998,0.077448608476539,16,0
21,24.57200432,0.38566202,0.65619242,0.08827418613895,16,0
22,25.90175056,0.51272887,0.70819157,0.095267950050932,16,0
23,27.24708176,0.68133467,0.74684316,0.124676567847375,16,0
24,28.61027908,0.87835902,0.78588796,0.143537104967717,16,0
25,29.60103226,1.0336535,0.82305145,0.155478798020304,16,0
26,30.59967613,1.19667363,0.86107779,0.161814249648652,16,0
27,31.59870529,1.38192606,0.88639736,0.183349878124369,16,0
28,32.80705643,1.62635684,0.92109221,0.199591285010423,16,0
29,33.82673645,1.84630489,0.95209992,0.212448012428477,16,0
30,35.05076981,2.14318013,0.99047506,0.237943859296365,16,0
31,36.07044983,2.40275168,1.02625811,0.24926746330611,16,0
32,37.30610275,2.74107695,1.06092417,0.267252873896502,16,0
33,38.54824066,3.10697579,1.10142517,0.286469414212438,16,0
34,39.790905,3.50266767,1.14359701,0.308271024673317,16,0
35,41.03474808,3.92020822,1.18718088,0.323866343560247,16,0
36,42.27365494,4.37131739,1.22999835,0.349196953172527,16,0
37,43.50998306,4.83132648,1.26444793,0.356205461443766,16,0
38,44.94911957,5.39060736,1.31663632,0.370659905066633,16,0
39,46.1826973,5.89137554,1.36486638,0.385623261629046,16,0
40,47.42566299,6.39461422,1.42118752,0.384697010170727,16,0
41,48.6629715,6.91346931,1.48341393,0.397068296194609,16,0
42,50.11659622,7.52914953,1.55923903,0.400640367782191,16,0
43,51.57144928,8.16701794,1.64817023,0.413200671583815,16,0
44,53.01222992,8.82581806,1.74233508,0.428868467492294,16,0
